rank,place,population,lat,lon
1,New York,8175133,40.71455,-74.007124
2,Los Angeles,3792621,34.05349,-118.245323
3,Chicago,2695598,41.836944,-87.684722
4,Houston,2099451,29.762778,-95.383056
5,Philadelphia,1526006,39.95,-75.166667
6,Phoenix,1445632,33.45,-112.066667
7,San Antonio,1327407,29.416667,-98.5
8,San Diego,1307402,32.715,-117.1625
9,Dallas,1197816,32.775833,-96.796667
10,San Jose,945942,37.333333,-121.9
11,Jacksonville,821784,30.336944,-81.661389
12,Indianapolis (balance),820445,39.766667,-86.15
13,Austin,790390,30.25,-97.75
14,San Francisco,805235,37.783333,-122.416667
15,Columbus,787033,39.983333,-82.983333
16,Fort Worth,741206,32.757358,-97.333181
17,Charlotte,731424,35.226944,-80.843333
18,Detroit,713777,42.331389, -83.045833
19,El Paso,649121,31.790278,-106.423333
20,Memphis,646889,35.1175,-89.971111
21,Boston,617594,42.358056,-71.063611
22,Seattle,608660,47.609722,-122.333056
23,Denver,600158,39.76185,-104.881105
24,Baltimore,620961,39.283333,-76.616667
25,Washington D.C.,601723,38.904722,-77.016389
26,Nashville,601222,36.166667,-86.783333
27,Louisville,597337,38.25,-85.766667
28,Milwaukee,594833,43.052222,-87.955833
29,Portland,583776,45.52,-122.681944
30,Oklahoma City,579999,35.482222,-97.535
31,Las Vegas,583756,36.175,-115.136389
32,Albuquerque,545852,35.110833,-106.61
33,Tucson,520116,32.221667,-110.926389
34,Fresno,494665,36.75,-119.766667
35,Sacramento,466488,38.555556,-121.468889
36,Long Beach,462257,33.768333,-118.195556
37,Kansas City,459787,39.1,-94.58
38,Mesa,439041,33.415,-111.831389
39,Virginia Beach,437994,36.8506,-75.9779
40,Atlanta,420003,33.755,-84.39
41,Colorado Springs,416427,38.833333,-104.816667
42,Raleigh,403892,35.780556,-78.638889
43,Omaha,408958,41.25,-96
44,Miami,399457,25.775278,-80.208889
45,Tulsa,391906,36.131389,-95.937222
46,Oakland,390724,37.804444,-122.270833
47,Cleveland,396815,41.482222,-81.669722
48,Minneapolis,382578,44.983333,-93.266667
49,Wichita,382368,37.688889,-97.336111
50,Arlington,365438,32.705,-97.122778
